variant,segment,bleu,bert_f1,meteor
baseline,В_Еміратах_сьогодні_seg001,15.04224776484074,0.24942028522491455,0.3856004294824157
baseline,В_Еміратах_сьогодні_seg002,17.78886688650014,0.3118003308773041,0.3924949067390457
baseline,Діалог_з_Америкою_seg001,25.772440411145126,0.3194342851638794,0.47880535754490783
baseline,Діалог_з_Америкою_seg002,10.52285119173565,0.24065586924552917,0.3426133615025313
baseline,"Знаємо,_що_росіяни_seg001",13.354222671601192,0.20851565897464752,0.36993571299521644
baseline,"Знаємо,_що_росіяни_seg002",20.085009248632296,0.30306169390678406,0.40236671370344873
baseline,Командна_ланка_seg001,20.33237396767649,0.3954845368862152,0.437428352169153
baseline,Наша_стратегія_seg001,18.588209534881987,0.3072427809238434,0.3957301902807419
baseline,Наша_стратегія_seg002,23.732846631939015,0.4277162253856659,0.4333780082219412
baseline,Отримуємо_хороші_seg001,19.497731998801452,0.3781174421310425,0.43640973565059604
baseline,Поведінка_seg001,21.94907391553345,0.4034264385700226,0.4544530539424321
baseline,Поведінка_seg002,21.419351936613985,0.4155769944190979,0.4668633931594908
exact,В_Еміратах_сьогодні_seg001,13.305661564705252,0.25904005765914917,0.3943927623680513
exact,В_Еміратах_сьогодні_seg002,17.78886688650014,0.3118003308773041,0.3924949067390457
exact,Діалог_з_Америкою_seg001,26.53910135659525,0.4027988910675049,0.4852031831262529
exact,Діалог_з_Америкою_seg002,12.449975735704802,0.26350367069244385,0.37368082553185766
exact,"Знаємо,_що_росіяни_seg001",13.800488449774804,0.23390235006809235,0.38930831236270164
exact,"Знаємо,_що_росіяни_seg002",20.085009248632296,0.30306169390678406,0.40236671370344873
exact,Командна_ланка_seg001,20.29833912320956,0.4163009822368622,0.4342698681346801
exact,Наша_стратегія_seg001,18.588209534881987,0.30753839015960693,0.3957301902807419
exact,Наша_стратегія_seg002,23.732846631939015,0.4277162253856659,0.4333780082219412
exact,Отримуємо_хороші_seg001,19.45164958971249,0.37449929118156433,0.42679413110807024
exact,Поведінка_seg001,22.128533116386762,0.40642020106315613,0.4547005001665295
exact,Поведінка_seg002,21.419351936613985,0.4155769944190979,0.4668633931594908
phonetic,В_Еміратах_сьогодні_seg001,14.439320891290265,0.2576793432235718,0.3678919848588721
phonetic,В_Еміратах_сьогодні_seg002,17.78886688650014,0.3118003308773041,0.3924949067390457
phonetic,Діалог_з_Америкою_seg001,24.768559549890497,0.25747203826904297,0.45690082196626
phonetic,Діалог_з_Америкою_seg002,10.52285119173565,0.24065586924552917,0.3426133615025313
phonetic,"Знаємо,_що_росіяни_seg001",13.800488449774804,0.23724113404750824,0.38930831236270164
phonetic,"Знаємо,_що_росіяни_seg002",20.085009248632296,0.30306169390678406,0.40236671370344873
